IP,延迟(ms),丢包率(%),速度(Mbps)
188.114.97.72,12.61,0.00,40.51
162.159.40.234,13.24,0.00,40.82
162.159.138.0,12.76,0.00,36.74
172.64.42.0,13.20,0.00,36.33
104.20.188.69,12.97,0.00,42.28
104.17.242.253,13.24,0.00,35.47
104.16.66.187,13.03,0.00,36.99
104.27.107.147,13.14,0.00,35.61
104.27.73.84,12.79,0.00,38.56
172.65.218.245,13.19,0.00,42.80
198.41.195.83,13.39,0.00,35.03
104.25.192.49,13.12,0.00,42.10
198.41.215.96,13.30,0.00,42.21
172.67.196.231,13.07,0.00,37.29
108.162.198.148,12.82,0.00,37.54
104.19.116.59,12.90,0.00,37.91
104.25.73.203,12.97,0.00,36.54
104.27.70.241,13.06,0.00,42.06
162.159.137.79,12.88,0.00,34.14
104.24.216.250,13.16,0.00,35.23
104.22.8.25,13.02,0.00,45.54
104.24.56.172,13.25,0.00,34.96
104.24.40.155,13.26,0.00,37.11
104.24.203.171,12.63,0.00,35.09
104.27.11.149,13.50,0.00,39.31
188.114.97.126,13.07,0.00,36.39
104.22.72.219,13.05,0.00,34.79
104.20.23.244,13.62,0.00,41.83
104.25.132.29,13.26,0.00,35.72
188.114.96.102,13.44,0.00,36.77
198.41.223.68,13.11,0.00,37.52
162.159.134.146,12.93,0.00,36.46
104.24.7.61,13.41,0.00,37.68
104.16.114.108,13.36,0.00,40.53
172.65.76.174,13.09,0.00,33.59
172.65.209.15,13.00,0.00,38.19
172.65.151.237,12.86,0.00,36.75
162.159.130.31,13.04,0.00,37.03
104.27.5.35,13.10,0.00,36.94
104.18.73.65,13.05,0.00,33.43
198.41.223.240,13.14,0.00,35.13
104.16.180.171,13.00,0.00,43.28
162.159.199.190,13.52,0.00,43.98
172.65.49.18,12.74,0.00,42.80
162.159.32.132,13.40,0.00,39.69
104.23.117.2,13.00,0.00,42.36
108.162.196.244,13.08,0.00,38.69
104.18.125.132,13.48,0.00,38.30
104.22.13.185,12.96,0.00,39.11
104.27.55.244,13.72,0.00,38.29
104.26.11.173,12.87,0.00,44.83
104.17.155.213,13.00,0.00,42.36
172.66.143.212,13.06,0.00,40.09
104.24.20.247,13.52,0.00,40.33
104.21.119.173,13.06,0.00,42.13
104.23.134.226,13.32,0.00,49.77
172.65.222.246,13.31,0.00,37.94
172.67.171.215,13.22,0.00,44.36
104.25.235.82,13.48,0.00,39.54
104.16.0.171,13.38,0.00,41.12
104.25.25.193,13.33,0.00,38.56
104.27.51.111,13.01,0.00,39.13
198.41.221.103,13.70,0.00,41.61
162.159.142.38,13.38,0.00,37.96
104.27.50.15,12.99,0.00,34.92
162.159.250.58,13.49,0.00,36.79
162.159.18.74,12.86,0.00,37.04
104.17.133.25,13.15,0.00,38.14
108.162.196.110,12.93,0.00,36.81
188.114.96.206,12.89,0.00,38.87
104.27.87.68,13.01,0.00,40.05
172.67.99.209,13.25,0.00,36.04
104.19.213.89,13.35,0.00,39.68
104.25.249.127,13.31,0.00,40.18
104.19.25.75,13.25,0.00,39.50
104.19.217.235,13.08,0.00,41.83
104.19.144.232,13.09,0.00,42.18
172.66.41.229,13.58,0.00,37.92
162.159.196.198,12.97,0.00,37.51
104.18.244.220,13.11,0.00,40.21
104.19.184.149,13.05,0.00,44.56
172.65.22.1,13.09,0.00,42.77
104.19.176.113,13.05,0.00,44.91
172.64.40.249,23.83,0.00,35.03
141.101.122.67,12.78,0.00,39.56
104.24.211.49,13.07,0.00,39.14
162.159.32.7,12.66,0.00,37.97
172.65.199.200,13.70,0.00,35.50
104.22.79.226,13.42,0.00,37.57
141.101.114.84,12.89,0.00,40.41
104.24.166.14,12.96,0.00,44.12
190.93.244.121,13.75,0.00,40.31
104.27.9.104,12.75,0.00,41.94
172.67.141.223,13.04,0.00,47.26
104.25.30.218,13.42,0.00,44.55
104.19.222.3,12.90,0.00,44.42
104.18.7.97,13.22,0.00,15.40
104.21.89.67,13.10,0.00,41.46
190.93.247.40,13.30,0.00,38.59
172.67.131.164,12.66,0.00,41.16
104.18.147.235,13.22,0.00,44.94
104.17.26.33,13.32,0.00,39.60
104.25.108.92,13.69,0.00,38.73
198.41.216.218,13.20,0.00,40.24
190.93.247.231,13.88,0.00,37.94
104.19.255.30,13.67,0.00,47.27
104.20.198.48,13.63,0.00,41.31
104.16.228.245,13.01,0.00,40.77
104.18.33.40,12.82,0.00,34.03
190.93.247.81,12.79,0.00,36.00
104.24.240.185,13.46,0.00,34.45
172.65.45.57,13.01,0.00,37.72
104.19.32.206,13.34,0.00,39.79
104.16.164.122,13.17,0.00,35.15
104.27.14.171,13.00,0.00,45.94
172.65.213.206,13.11,0.00,38.67
104.24.30.119,12.86,0.00,39.95
172.66.211.179,13.79,0.00,37.70
141.101.90.98,12.85,0.00,41.87
198.41.204.149,14.30,0.00,40.10
162.159.236.253,13.83,0.00,38.60
104.18.214.125,12.80,0.00,46.49
172.66.1.46,12.88,0.00,42.34
104.24.60.75,12.73,0.00,39.23
104.25.139.230,13.08,0.00,44.00
104.24.4.4,13.38,0.00,37.42
104.21.123.25,13.99,0.00,39.85
104.20.29.53,13.01,0.00,44.81
198.41.196.154,12.90,0.00,46.89
172.65.168.246,12.93,0.00,39.94
104.23.132.121,12.78,0.00,42.22
141.101.123.253,13.35,0.00,42.06
198.41.196.243,12.62,0.00,38.97
104.25.96.11,12.94,0.00,43.12
172.65.145.92,12.99,0.00,42.35
104.21.113.28,12.83,0.00,41.45
104.25.208.0,13.29,0.00,49.60
104.27.51.133,13.43,0.00,43.65
162.159.40.223,12.96,0.00,49.22
104.25.197.220,13.36,0.00,42.62
104.24.129.52,13.33,0.00,56.03
104.27.41.77,12.41,0.00,72.11
104.25.162.156,13.39,0.00,66.27
141.101.120.146,12.89,0.00,70.53
172.67.16.225,12.97,0.00,80.97
